model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,2,0.1,layer_mid,25,0,0.92,0.6403682766628079,"[0.6034311027309472, 0.6828189365778442]",0.11929843841664307,"[0.10016935280844935, 0.13900042975794472]",0.6623270964649174,0.7033333333333334,0.7981576547636904,0.051644379519578294,0.0,0.92,0.0,0.0,0.0,ordered,300,42.23327957529321,11.609253094196513
deepseek-r1-distill-qwen-7b,2,0.2,layer_mid,25,0,0.92,0.3672481207201287,"[0.33143027259790714, 0.4022516987185996]",0.11772612244276758,"[0.10614204541782918, 0.12750164596401062]",0.38594802654227744,0.36,0.6572479185139045,0.058338368422604724,0.0,0.92,0.0,0.0,0.0,ordered,300,43.19677681065921,9.750843208677782
deepseek-r1-distill-qwen-7b,2,0.3,layer_mid,25,0,0.8,0.5034234891782853,"[0.46044954413678085, 0.552866896513669]",0.16104090633990253,"[0.15144980794081014, 0.1698992704618]",0.526813020646618,0.5733333333333334,0.8585212644469976,0.08990293865932845,0.0,0.8,0.0,0.04,0.0,ordered,300,47.08855015854006,24.594273320539564
deepseek-r1-distill-qwen-7b,2,0.4,layer_mid,25,0,0.92,0.47673368601147026,"[0.42964028783057023, 0.517060324295169]",0.13088856546796157,"[0.12452325402710401, 0.13966525681092296]",0.4854004742432113,0.5466666666666666,0.8308534034333153,0.10845399055017547,0.0,0.92,0.0,0.0,0.0,ordered,300,43.53435445858951,21.070179953670703
deepseek-r1-distill-qwen-7b,2,0.5,layer_mid,25,0,0.92,0.4203151030948019,"[0.37744974598340886, 0.45291227184990723]",0.1118709388173473,"[0.10302614103848919, 0.12040878664383725]",0.42858635747009893,0.42,0.6963829144388626,0.06692504214984198,0.0,0.92,0.0,0.0,0.0,ordered,300,46.59793236239772,22.139826299236013
deepseek-r1-distill-qwen-7b,2,0.6,layer_mid,25,0,0.76,0.33037571836417423,"[0.30200373461996444, 0.362658301418447]",0.08415632249504996,"[0.07304998637704412, 0.09411450666457973]",0.3406538340385461,0.24333333333333335,0.5877759873361963,0.04587854762384576,0.0,0.76,0.0,0.0,0.0,ordered,300,53.138543512547194,33.64682915236811
deepseek-r1-distill-qwen-7b,2,0.7,layer_mid,25,0,0.72,0.20254449118564494,"[0.16515918890707848, 0.23407729074716216]",0.09336462293532896,"[0.07941496562238871, 0.10704569495020806]",0.24332761508267234,0.17333333333333334,0.6951678574016894,0.03366574315778412,0.03,0.72,0.0,0.0,0.0,ordered,300,62.1042969080098,37.79062087920842
deepseek-r1-distill-qwen-7b,2,0.8,layer_mid,25,0,0.84,0.23355570928775957,"[0.20088062021072414, 0.26279403422692116]",0.07330209139685512,"[0.06253768485477645, 0.08435683871894409]",0.2603651930011057,0.16,0.583911979108821,0.021361427783183208,0.485,0.84,0.0,0.0,0.0,ordered,300,56.724849160355795,32.95890016656877
deepseek-r1-distill-qwen-7b,2,0.9,layer_mid,25,0,0.68,0.19770625535662337,"[0.16127905863687025, 0.2238720612871803]",0.06574051890338084,"[0.0558004742970211, 0.073871304778107]",0.23254782189620982,0.13333333333333333,0.5199992865289284,0.01794423923463815,0.805,0.68,0.0,0.04,0.0,ordered,300,65.6306477383698,44.393175058313616
deepseek-r1-distill-qwen-7b,2,1.0,layer_mid,25,0,0.56,0.1735793503826773,"[0.1523871779462189, 0.19443762806238005]",0.04337275584623732,"[0.03605842515031345, 0.04999220734834615]",0.20133289278202798,0.08,0.48343355239838315,0.01640805711801382,0.89,0.56,0.0,0.12,0.0,ordered,300,60.04723609538704,39.107873886433104
deepseek-r1-distill-qwen-7b,3,0.1,layer_mid,25,0,0.64,0.15133421711626097,"[0.11976740784750868, 0.18469657693069072]",0.09456953472039317,"[0.08065847974926811, 0.10869943560987641]",0.24067507570389718,0.16333333333333333,0.6261047159564842,0.023603952197268387,0.325,0.64,0.08,0.0,0.0,ordered,300,54.55552760279303,42.685990912119266
deepseek-r1-distill-qwen-7b,3,0.2,layer_mid,25,0,0.48,0.1660058776997244,"[0.1372037466893843, 0.1965529932140704]",0.07910165232864998,"[0.06830994918801449, 0.0891094772954578]",0.2278138887024901,0.14,0.5263172684255875,0.03185457643511946,0.02,0.48,0.2,0.0,0.0,ordered,300,60.54034270462392,50.234319661131615
deepseek-r1-distill-qwen-7b,3,0.3,layer_mid,25,0,0.68,0.20061816356058343,"[0.17133007176270157, 0.2284065732298611]",0.09482601688578458,"[0.08347928583050376, 0.10557096403946328]",0.27232040425501436,0.19333333333333333,0.5656456604922109,0.02145285093735938,0.385,0.68,0.16,0.0,0.0,ordered,300,43.96342868532371,32.40536096846116
deepseek-r1-distill-qwen-7b,3,0.4,layer_mid,25,0,0.48,0.17243704438371693,"[0.1482632765295329, 0.199230305457883]",0.06309230017511384,"[0.05487915506407517, 0.07244324266623255]",0.22574870477256206,0.13,0.44240797987067226,0.01624552786534231,0.915,0.48,0.12,0.2,0.0,ordered,300,48.45718498420275,35.124324898145325
deepseek-r1-distill-qwen-7b,3,0.5,layer_mid,25,0,0.36,0.09555475449115874,"[0.06193368797592708, 0.12124707069218156]",0.08570926466460063,"[0.07351050583461027, 0.09832986550393803]",0.2293069962706568,0.11333333333333333,0.5194558906429008,0.028011083564294777,0.08,0.36,0.16,0.0,0.0,ordered,300,48.6098688577648,35.23500944167698
deepseek-r1-distill-qwen-7b,3,0.6,layer_mid,25,0,0.48,0.12166785493445498,"[0.0961339495656132, 0.14798303161381088]",0.06334611873820634,"[0.05270369597351168, 0.07315491792057412]",0.21043877626348464,0.08666666666666667,0.46246034595541263,0.0169845452028657,0.855,0.48,0.28,0.0,0.0,ordered,300,47.067105756150966,30.172980012189925
deepseek-r1-distill-qwen-7b,3,0.7,layer_mid,25,0,0.36,0.09091429759224612,"[0.0632867205087573, 0.11701057066993178]",0.06117881780189926,"[0.050356428187501745, 0.07054582968370457]",0.18765969868437107,0.08666666666666667,0.4531886426298632,0.012970575566248014,1.0,0.36,0.32,0.04,0.0,ordered,300,55.2479333301307,39.77652859272905
deepseek-r1-distill-qwen-7b,3,0.8,layer_mid,25,0,0.44,0.1294765625877343,"[0.10538092011654442, 0.1533358598446896]",0.04816489261434504,"[0.04000443962244022, 0.05463760262689385]",0.17880726697405516,0.08,0.4428325750895577,0.01556387685014404,0.94,0.44,0.28,0.08,0.0,ordered,300,67.98024377189284,51.0955500165018
deepseek-r1-distill-qwen-7b,3,0.9,layer_mid,25,0,0.28,0.11895048635274098,"[0.09797204202707613, 0.1377239172055791]",0.03404311729604991,"[0.02779005263463271, 0.03993360484525768]",0.15386190646726433,0.05333333333333334,0.5495738542476434,0.015974374260204746,0.915,0.28,0.32,0.2,0.0,spin_glass,300,65.42286036881417,47.56534738882935
deepseek-r1-distill-qwen-7b,3,1.0,layer_mid,25,0,0.12,0.045298245016716344,"[0.03039427529759915, 0.059495908283067285]",0.01772031748261587,"[0.01373657931851493, 0.02229128433707335]",0.0918418108063009,0.01,0.3328287195461751,0.015924312509006326,0.925,0.12,0.32,0.32,0.0,transitional,300,86.34624541257496,54.14259323622621
deepseek-r1-distill-qwen-7b,3,1.1,layer_mid,30,0,0.0,0.05177172749662634,"[0.04064754288203713, 0.062023372700724354]",0.014313458263773456,"[0.011693370056158338, 0.01745698295021997]",0.08667623485896567,0.006896551724137931,0.45856402618310926,0.015428103413621674,0.785,0.0,0.1,0.5666666666666667,0.0,transitional,435,105.24280566379542,45.03261047814435
deepseek-r1-distill-qwen-7b,3,1.2,layer_mid,30,0,0.0,0.03984962836968563,"[0.028744465590540023, 0.05111736245048155]",0.012111653792762418,"[0.008518356105442904, 0.01744528470861546]",0.06470068551466984,0.016091954022988506,0.6839826040304616,0.019198258784856752,0.355,0.0,0.0,0.6666666666666666,0.0,spin_glass,435,107.71868423562185,40.39111379218688
deepseek-r1-distill-qwen-7b,3,1.3,layer_mid,30,0,0.0,0.018295295122627828,"[0.01124014121012063, 0.026151363034684415]",0.0062446845331468855,"[0.004867972563544139, 0.007730435370420671]",0.058582934675325334,0.0,0.35940063944197204,0.014045955265967741,0.915,0.0,0.0,0.7,0.0,paramagnetic,435,124.17387181550276,29.494211944836845
deepseek-r1-distill-qwen-7b,3,1.4,layer_mid,30,0,0.0,0.013517274887066846,"[0.006822935910675349, 0.019761095040713692]",0.005187022109121849,"[0.004456813930019004, 0.005924521056912095]",0.05701535856735598,0.0,0.3148515067920343,0.013032055347515656,0.955,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,131.01198007593118,9.726779884272291
deepseek-r1-distill-qwen-7b,3,1.5,layer_mid,30,0,0.0,0.02254938752740111,"[0.01701503457792076, 0.030165920718157904]",0.0051587751246527005,"[0.004444647319661357, 0.005950454259567472]",0.057382940877775575,0.0,0.3582522151799455,0.013693506676866536,0.875,0.0,0.0,0.7666666666666667,0.0,paramagnetic,435,130.6148510176969,17.00209209148509
deepseek-r1-distill-qwen-7b,3,1.8,layer_mid,30,0,0.0,0.0250893206038962,"[0.016169102862845043, 0.03297289776718383]",0.007503987543117588,"[0.00638842792615964, 0.008657796561500323]",0.06816849995586652,0.0,0.35323489616388415,0.015789681612802437,0.7,0.0,0.0,0.9333333333333333,0.0,paramagnetic,435,128.68393071394033,17.224814646606085
deepseek-r1-distill-qwen-7b,3,2.0,layer_mid,30,0,0.0,0.04211103241941214,"[0.03366335251497992, 0.05049966059241055]",0.007509499703054344,"[0.006355034445307669, 0.008962591495569959]",0.07136643163992122,0.0,0.3944676010982808,0.013010504925956498,0.95,0.0,0.0,1.0,0.0,paramagnetic,435,132.93246256046515,9.924804268954452
deepseek-r1-distill-qwen-7b,3,2.5,layer_mid,30,0,0.0,0.036930797398968616,"[0.02884719097289793, 0.04397902926293493]",0.007788065129627026,"[0.006463839344556178, 0.00887580276985075]",0.07156991128105081,0.0,0.381879934847569,0.009969727409340323,1.0,0.0,0.0,1.0,0.0,paramagnetic,435,133.93938689244922,10.1608621855309
