model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-llama-8b,2,0.1,layer_mid,25,0,0.84,0.27721731154041074,"[0.24421088567403443, 0.3090439656814106]",0.08432453427443214,"[0.07344923650829153, 0.09365957679810433]",0.3170519914234384,0.24666666666666667,0.4979123057495298,0.020520869853373428,0.576,0.84,0.0,0.16,0.0,ordered,300,4.0107815762896895,1.5957623379418915
deepseek-r1-distill-llama-8b,2,0.2,layer_mid,25,0,0.92,0.2955925073285966,"[0.25540390492013215, 0.33170642306247117]",0.0969403770817505,"[0.08543801832705819, 0.10600034389316736]",0.33833441765594335,0.2833333333333333,0.5218493770413355,0.033932279560762064,0.012,0.92,0.0,0.04,0.0,ordered,300,4.193002129156686,1.516599687267555
deepseek-r1-distill-llama-8b,2,0.3,layer_mid,25,0,0.92,0.2677452275100499,"[0.23190427681899203, 0.3070813515820385]",0.10679011655044249,"[0.09398480988066182, 0.11742357793508443]",0.3265317813210349,0.2633333333333333,0.5543323566334035,0.04332109780196383,0.0,0.92,0.0,0.08,0.0,ordered,300,4.344629841735678,1.5163716115432126
deepseek-r1-distill-llama-8b,2,0.4,layer_mid,25,0,0.88,0.23504851966100868,"[0.20459253105646863, 0.26832085454480203]",0.08811663064435822,"[0.07661282167027714, 0.09802656822688799]",0.28190610071300914,0.21666666666666667,0.5540372101516501,0.019109142860281463,0.642,0.88,0.0,0.12,0.0,ordered,300,4.6701271503671995,2.7156376756012435
deepseek-r1-distill-llama-8b,2,0.5,layer_mid,25,0,0.84,0.24157090081937638,"[0.2087182466221907, 0.2758725692372291]",0.08450218840053778,"[0.0741195388409827, 0.0945048021701572]",0.29093431754884025,0.22333333333333333,0.5199742848422908,0.026749325475627805,0.148,0.84,0.0,0.08,0.08,ordered,300,3.9591592026279665,0.6747260460464619
deepseek-r1-distill-llama-8b,2,0.6,layer_mid,25,0,0.88,0.27009982310126207,"[0.23115863838386855, 0.31972772569660013]",0.13530927769720538,"[0.12069691611367228, 0.15020980042205717]",0.35998678540171036,0.25666666666666665,0.5725407183519646,0.05662283854315091,0.0,0.88,0.0,0.12,0.0,ordered,300,3.8787187320994643,0.5406904172727728
deepseek-r1-distill-llama-8b,2,0.7,layer_mid,25,0,0.84,0.2845090549542705,"[0.24936299491068972, 0.3164879216923783]",0.09594420613054423,"[0.08386582256543339, 0.10820152651691668]",0.3202336077109479,0.24,0.5347236734035203,0.03155867426716686,0.03,0.84,0.0,0.12,0.0,ordered,300,4.691270930742629,2.5954864977530727
deepseek-r1-distill-llama-8b,2,0.8,layer_mid,25,0,0.72,0.17061900399988345,"[0.14074515571600418, 0.1993880244201064]",0.06785380308989634,"[0.0567838213633712, 0.079174130734651]",0.21431062116157704,0.12,0.5256312345545501,0.024132899354205293,0.286,0.72,0.0,0.28,0.0,ordered,300,5.788233846688082,4.001204941744138
deepseek-r1-distill-llama-8b,2,0.9,layer_mid,25,0,0.88,0.24539711888450946,"[0.2165648496790878, 0.27924326706120484]",0.07494198367568593,"[0.06525272039012184, 0.08439251911854674]",0.27644228421758094,0.17,0.5446994835393214,0.02001006667368974,0.6,0.88,0.0,0.04,0.08,ordered,300,4.507312884337479,2.12629664934557
deepseek-r1-distill-llama-8b,2,1.0,layer_mid,25,0,0.76,0.20887021231722377,"[0.18191882632340392, 0.23637580225969582]",0.06853688212399602,"[0.05958098455770802, 0.07761635046887626]",0.24530296244145924,0.17666666666666667,0.5416364432378804,0.0129223759504707,0.994,0.76,0.0,0.2,0.0,ordered,300,5.1238580057510426,3.1879607757726913
deepseek-r1-distill-llama-8b,2,1.2,layer_mid,25,0,0.24,0.05922814012512273,"[0.042291780640663135, 0.07613450601972738]",0.028047094497476964,"[0.015890643832299288, 0.039815413783769606]",0.08439985666252123,0.03333333333333333,0.7434017667422153,0.015192542443818348,0.964,0.24,0.0,0.56,0.2,spin_glass,300,7.770440544611127,3.0425347950989763
deepseek-r1-distill-llama-8b,2,1.5,layer_mid,25,0,0.0,0.023914986198887458,"[0.014228796793015816, 0.03343139591653105]",0.006374290512266052,"[0.005194566828442332, 0.00774136463200106]",0.05904311418536797,0.0,0.5096008197100428,0.013658811514830239,0.994,0.0,0.0,1.0,0.0,undetermined,300,10.339730870928584,0.9062407869078132
deepseek-r1-distill-llama-8b,2,2.0,layer_mid,25,0,0.0,0.027075039787981384,"[0.01965599069686352, 0.03440903808970333]",0.004823867334332785,"[0.0038316556409021575, 0.005918640775412112]",0.05530507055586867,0.0,0.3888671289415403,0.01669472691775849,0.876,0.0,0.0,1.0,0.0,paramagnetic,300,10.212661761435834,0.9717673705478526
deepseek-r1-distill-llama-8b,3,0.1,layer_mid,25,0,0.16,0.036516537563651925,"[0.015473080281938202, 0.05779071433659897]",0.03177362251779836,"[0.025692906379259844, 0.03759482020274307]",0.12380383339773042,0.01,0.34315866919976173,0.013319364076499876,0.994,0.16,0.4,0.4,0.0,spin_glass,300,6.596433688662952,4.670316200041349
deepseek-r1-distill-llama-8b,3,0.2,layer_mid,25,0,0.08,0.034135424831693725,"[0.009269002467722458, 0.05837476034395828]",0.050560614025325384,"[0.04122983792704154, 0.05983129123476971]",0.15413284138805594,0.04666666666666667,0.41802025372840323,0.012565563330817611,1.0,0.08,0.2,0.56,0.04,spin_glass,300,6.58240000884343,4.417611354495331
deepseek-r1-distill-llama-8b,3,0.3,layer_mid,25,0,0.0,0.0554758221001433,"[0.03987330694295396, 0.07139635724624362]",0.01770391556543314,"[0.013340548914730044, 0.02221447580514748]",0.0958710698399405,0.01,0.24468607980689205,0.015369872939507664,0.942,0.0,0.2,0.76,0.04,undetermined,300,8.846448262813079,4.776564847021199
deepseek-r1-distill-llama-8b,3,0.4,layer_mid,25,0,0.04,0.03611512253315657,"[0.013350829999530241, 0.0575506969606758]",0.037233835080617554,"[0.028945725455994022, 0.04563550645563003]",0.13328167699858937,0.02666666666666667,0.38426206121923756,0.012475935394343688,0.996,0.04,0.24,0.56,0.04,spin_glass,300,6.990601830929948,4.3727341071029695
deepseek-r1-distill-llama-8b,3,0.5,layer_mid,25,0,0.08,0.06931030012637263,"[0.05095620496836979, 0.08583449232985176]",0.02655125847222922,"[0.02089368584978598, 0.03222185520488684]",0.11542258274503626,0.02666666666666667,0.3755867102652792,0.013234780628833404,0.998,0.08,0.28,0.6,0.0,spin_glass,300,7.076832382638687,4.97116193427179
deepseek-r1-distill-llama-8b,3,0.6,layer_mid,25,0,0.04,0.047964760008590304,"[0.029651874645320264, 0.07175536008030098]",0.030752726338664705,"[0.024990625853217395, 0.0369979657782898]",0.12355068684480659,0.02,0.2936463375321446,0.010971608198638912,1.0,0.04,0.28,0.64,0.0,spin_glass,300,6.850703274617615,4.493675699594016
deepseek-r1-distill-llama-8b,3,0.7,layer_mid,25,0,0.0,0.042746773987869996,"[0.02237553613064431, 0.061534771349255286]",0.033080743318615546,"[0.025812011175149526, 0.04075177830688733]",0.12258499999553454,0.03666666666666667,0.24185347601264115,0.0142589330978038,0.978,0.0,0.2,0.64,0.04,spin_glass,300,8.56883816064274,4.7249579826880845
deepseek-r1-distill-llama-8b,3,0.8,layer_mid,25,0,0.0,0.09900565633758897,"[0.08909582488074282, 0.11023648345624494]",0.009925518622449442,"[0.007696951162816874, 0.012700484293486367]",0.10821967911211665,0.0033333333333333335,0.3455789322172788,0.017600665417052627,0.806,0.0,0.08,0.88,0.0,undetermined,300,12.058404498038087,3.5502535693035564
deepseek-r1-distill-llama-8b,3,0.9,layer_mid,25,0,0.0,0.02175790434286979,"[0.008292479167368593, 0.03642900175594554]",0.017684519549694393,"[0.013879839514438828, 0.021682122916279065]",0.0928127188778835,0.0,0.24714319808679183,0.012767498031206094,1.0,0.0,0.24,0.52,0.16,undetermined,300,7.502816585753547,4.548574427298335
deepseek-r1-distill-llama-8b,3,1.0,layer_mid,25,0,0.0,0.06949555416286533,"[0.058527337798434435, 0.08038425627049835]",0.010452623909275396,"[0.008200798392011406, 0.013313074156223955]",0.09058753605237549,0.006666666666666667,0.3776823550162818,0.015170933265872181,0.964,0.0,0.12,0.72,0.16,paramagnetic,300,9.671671877932434,4.276967489040853
deepseek-r1-distill-llama-8b,3,1.1,layer_mid,30,0,0.0,0.05611929971644642,"[0.0461033574846038, 0.06994381682153586]",0.012667452365807021,"[0.008889357710406632, 0.01667298598792786]",0.0838184525817398,0.006896551724137931,0.4008148122999286,0.009437267001742656,1.0,0.0,0.2,0.6,0.2,undetermined,435,9.415715373770707,4.138674080666977
deepseek-r1-distill-llama-8b,3,1.2,layer_mid,25,0,0.0,0.048307045957288526,"[0.04011268008403128, 0.05843346075242701]",0.006470015655078846,"[0.004531437957176158, 0.008589859126249275]",0.05911291458199269,0.0,0.5641022471963582,0.01618823210740441,0.92,0.0,0.04,0.76,0.12,undetermined,300,9.210049620068991,2.76955144697815
deepseek-r1-distill-llama-8b,3,1.3,layer_mid,30,0,0.0,0.02223664339438879,"[0.016374843687718493, 0.02799538970576065]",0.0042052663214866975,"[0.0034933900551990904, 0.00494692066029062]",0.05082220748387298,0.0,0.3745243700417836,0.01112799689484205,0.99,0.0,0.0,0.9333333333333333,0.06666666666666667,paramagnetic,435,10.015308967360768,1.5750919851081056
deepseek-r1-distill-llama-8b,3,1.4,layer_mid,30,0,0.0,0.021957485583030283,"[0.014351640704275555, 0.029074960176428136]",0.006526157667505492,"[0.005672107864885306, 0.007450297412661679]",0.0637634753480299,0.0,0.4444353945686574,0.011482697698923136,0.994,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,10.418599274739647,0.919815262351731
deepseek-r1-distill-llama-8b,3,1.5,layer_mid,25,0,0.0,0.028452176715613137,"[0.019429010068712428, 0.038684261409859644]",0.006807659012622696,"[0.005000707059613972, 0.008458933470493668]",0.06180188374611618,0.0,0.4609637913391976,0.012510490322331473,0.996,0.0,0.0,1.0,0.0,paramagnetic,300,10.04084611768234,0.6415398679323304
deepseek-r1-distill-llama-8b,3,1.8,layer_mid,30,0,0.0,0.035221904603821824,"[0.027501128352014348, 0.04292133266814344]",0.006921609690483205,"[0.005820553529686322, 0.008030005684685598]",0.06637209585039056,0.0,0.47168524661275546,0.015636664172373867,0.72,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,10.019733071026524,0.8103135404767677
deepseek-r1-distill-llama-8b,3,2.0,layer_mid,25,0,0.0,0.025503864062764895,"[0.015272551822517038, 0.03680953078327042]",0.008785336961794652,"[0.0058145516677706845, 0.012490297472872048]",0.06409572022309779,0.006666666666666667,0.4513394687435124,0.01649004987645643,0.872,0.0,0.0,1.0,0.0,paramagnetic,300,10.54465775715225,1.067022037483774
deepseek-r1-distill-llama-8b,3,2.5,layer_mid,30,0,0.0,0.026054148684265796,"[0.018326212837509678, 0.03533983355312465]",0.007407878593107038,"[0.006168995077876374, 0.00883595165206093]",0.06440796201565434,0.0,0.49966702962962856,0.011475619449816465,0.988,0.0,0.0,0.9666666666666667,0.0,paramagnetic,435,10.085968209341722,0.7176895552924262
deepseek-r1-distill-llama-8b,3,3.0,layer_mid,30,0,0.0,0.02708635590744166,"[0.01988777738680715, 0.034444643186208795]",0.006710069184490657,"[0.005389348565962071, 0.008102044814767206]",0.06224909784161349,0.0,0.3920477026752703,0.009169137794760763,1.0,0.0,0.0,1.0,0.0,paramagnetic,435,10.275267620271299,0.7371733278979752
deepseek-r1-distill-llama-8b,4,0.1,layer_mid,25,0,0.0,0.035006529959782075,"[0.015181443810958921, 0.05260917885053107]",0.025600975773238516,"[0.019408334655566514, 0.03173228742221339]",0.11052144097862045,0.016666666666666666,0.32446771992944207,0.014273641240271051,0.984,0.0,0.44,0.52,0.0,spin_glass,300,7.829053142710765,4.686510459816109
deepseek-r1-distill-llama-8b,4,0.2,layer_mid,25,0,0.0,0.036302632328015526,"[0.02308809064041097, 0.04925596231431573]",0.01286647356317791,"[0.009133672975731356, 0.01704670369419145]",0.08022953080794554,0.01,0.3023929365105716,0.015094347959945988,0.964,0.0,0.24,0.72,0.04,undetermined,300,9.071942374964289,4.5740331132150756
deepseek-r1-distill-llama-8b,4,0.3,layer_mid,25,0,0.0,0.03567465378858824,"[0.021075944197346593, 0.05348701168791519]",0.020961511176599185,"[0.015521272659514702, 0.027380964541060746]",0.09751495126521587,0.013333333333333334,0.27414558290756597,0.0133397522349388,0.994,0.0,0.4,0.44,0.08,undetermined,300,7.628286923928795,4.853307182033855
