model_slug,N,T,layer,n_effective,n_censored,accuracy,q_mean,q_mean_ci_95,q_var,q_var_ci_95,q_abs_mean_exploratory,q_tail_mass,q_bimodality_bc,q_bimodality_dip,q_bimodality_dip_pval,ordered_rate,sg_label_rate,pm_rate,stagnation_after_move_rate,phase,q_count,hbar_norm_mean,hbar_norm_std
deepseek-r1-distill-qwen-7b,2,0.1,layer_mid,25,0,0.92,0.6403682786573044,"[0.598464675243644, 0.6782473012910929]",0.1192984392839489,"[0.10099193780290641, 0.136647746596982]",0.6623270991214906,0.7033333333333334,0.7981576549055034,0.05164437853225617,0.0,0.92,0.0,0.0,0.0,ordered,300,42.23327980890314,11.609253080166841
deepseek-r1-distill-qwen-7b,2,0.2,layer_mid,25,0,0.92,0.36724812236735543,"[0.3294348188746533, 0.4078867303835935]",0.11772612266608488,"[0.10605745731192137, 0.1281287226177874]",0.3859480291264205,0.36,0.6572479120090686,0.058338368037398045,0.0,0.92,0.0,0.0,0.0,ordered,300,43.1967769190031,9.750843173519009
deepseek-r1-distill-qwen-7b,2,0.3,layer_mid,25,0,0.8,0.5034234904532435,"[0.45730320798569773, 0.5467062952549205]",0.1610409071348352,"[0.150209085184384, 0.17148690160543117]",0.526813025027053,0.5733333333333334,0.8585212626442945,0.08990293867406937,0.0,0.8,0.0,0.04,0.0,ordered,300,47.08855025436289,24.594273028616453
deepseek-r1-distill-qwen-7b,2,0.4,layer_mid,25,0,0.92,0.4767336907086563,"[0.4367695822768495, 0.5184418709889868]",0.13088856357209064,"[0.12224297621701057, 0.13867254822144848]",0.4854004787044948,0.5466666666666666,0.8308533976694262,0.10845398855617273,0.0,0.92,0.0,0.0,0.0,ordered,300,43.53435458732006,21.070179670160446
deepseek-r1-distill-qwen-7b,2,0.5,layer_mid,25,0,0.92,0.42031510690017254,"[0.3801606273593392, 0.45527939330341355]",0.11187093880170683,"[0.103772000308858, 0.12044433562075857]",0.42858636253759624,0.42,0.6963829092878602,0.06692503831536784,0.0,0.92,0.0,0.0,0.0,ordered,300,46.59793256392422,22.13982623400429
deepseek-r1-distill-qwen-7b,2,0.6,layer_mid,25,0,0.76,0.330375716758302,"[0.2915721637336412, 0.36288461398154026]",0.08415632626954754,"[0.07340500085713746, 0.0932869122466449]",0.34065384097994655,0.24333333333333335,0.587775959007716,0.045878547782972255,0.0,0.76,0.0,0.0,0.0,ordered,300,53.1385435179141,33.64682873269972
deepseek-r1-distill-qwen-7b,2,0.7,layer_mid,25,0,0.72,0.20254448557059263,"[0.1711712244627388, 0.24028410012899107]",0.0933646253090828,"[0.07906144247795388, 0.10670076679878646]",0.243327616139217,0.17333333333333334,0.6951678639234034,0.03366574379908331,0.012,0.72,0.0,0.0,0.0,ordered,300,62.10429681778383,37.790620627345135
deepseek-r1-distill-qwen-7b,2,0.8,layer_mid,25,0,0.84,0.23355570505401252,"[0.2059902838475375, 0.2625293366632726]",0.07330209442913561,"[0.061549159892795184, 0.08519485656111757]",0.260365194584061,0.16,0.5839119842249696,0.021361428338388163,0.474,0.84,0.0,0.0,0.0,ordered,300,56.72484910123464,32.95889969681271
deepseek-r1-distill-qwen-7b,2,0.9,layer_mid,25,0,0.68,0.19770624467226255,"[0.170523214070603, 0.22738377404872562]",0.06574052240309888,"[0.05603458102695817, 0.07572764628202469]",0.23254781813494654,0.13333333333333333,0.5199993084815564,0.017944238019814415,0.774,0.68,0.0,0.04,0.0,ordered,300,65.6306474726536,44.39317466434765
deepseek-r1-distill-qwen-7b,2,1.0,layer_mid,25,0,0.56,0.1735793379496413,"[0.15202288979479345, 0.1964024603925382]",0.04337275942313239,"[0.03676071917551633, 0.04994544584831158]",0.20133289692682538,0.08,0.48343356964923717,0.016408056132174595,0.878,0.56,0.0,0.12,0.0,ordered,300,60.0472358035234,39.10787343966205
