N,temperature,runs,final_accuracy,goal_reached_all_mentions,no_final,length_stop,loop_trap,repeated_state_ratio,success_final_count,search_success_final_fail_count,search_fail_count,no_final_count,length_stop_count,loop_trap_count
3,0.0,5,1,1.0,0.0,0.0,1.0,0.7368421052631579,5,0,0,0,0,0
3,0.3,5,1,0.8,0.0,0.0,1.0,0.7659661835748792,5,0,0,0,0,0
3,0.6,5,1,0.6,0.0,0.0,1.0,0.8288650047270737,5,0,0,0,0,0
3,0.9,5,1,0.8,0.0,0.0,1.0,0.772435350951975,5,0,0,0,0,0
3,1.0,5,1,1.0,0.0,0.0,1.0,0.8106620830150242,5,0,0,0,0,0
4,0.0,5,0.6,0.6,0.2,0.2,0.8,0.5907549427538006,3,0,0,1,0,1
4,0.3,5,0.6,1.0,0.2,0.2,1.0,0.6341459506422575,3,0,0,1,0,1
4,0.6,5,0.6,1.0,0.2,0.2,1.0,0.5745894671366369,3,0,0,1,0,1
4,0.9,5,0.6,0.8,0.2,0.2,1.0,0.6185164545389056,3,0,0,1,0,1
4,1.0,5,0.4,0.4,0.4,0.4,0.8,0.4765213509894361,2,0,0,2,0,1
